user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
2Ve9HRrSnKueAhm,カヤ,1118658023415619584,2019-04-17 23:30:31,/2Ve9HRrSnKueAhm/status/1118658023415619584,0,0,0,"歌を歌うと涙が出てきて歌えなくなった
#悲しい","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">歌を歌うと涙が出てきて歌えなくなった
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a></p>"
yo_mo_gin,よもぎ 🌿not恋愛脳だけど一ヶ月で彼氏get,1118655416068534273,2019-04-17 23:20:09,/yo_mo_gin/status/1118655416068534273,0,0,0,"あこがれの
アッシュに染めて
2日で落ちる

#色もち悪すぎ
#悲しい","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">あこがれの
アッシュに染めて
2日で落ちる

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E8%89%B2%E3%82%82%E3%81%A1%E6%82%AA%E3%81%99%E3%81%8E?src=hash""><s>#</s><b>色もち悪すぎ</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a></p>"
kadqA8DCO0bozO7,かおりん,1118645268239405056,2019-04-17 22:39:50,/kadqA8DCO0bozO7/status/1118645268239405056,3,0,0,"昨日、髪染めてみたけどマダラになった(´TωT｀)

しかも、2、3回ブリーチしなきゃムリかなー(^^;;

#チワワ
#マニパニ
#カラーバター失敗
#悲しい pic.twitter.com/tnYVkPJ3ah","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">昨日、髪染めてみたけどマダラになった(´TωT｀)

しかも、2、3回ブリーチしなきゃムリかなー(^^;;

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%81%E3%83%AF%E3%83%AF?src=hash""><s>#</s><b>チワワ</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%9E%E3%83%8B%E3%83%91%E3%83%8B?src=hash""><s>#</s><b>マニパニ</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%82%AB%E3%83%A9%E3%83%BC%E3%83%90%E3%82%BF%E3%83%BC%E5%A4%B1%E6%95%97?src=hash""><s>#</s><b>カラーバター失敗</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tnYVkPJ3ah"">pic.twitter.com/tnYVkPJ3ah</a></p>"
i_c_h_i_k_o,40代でも現役で水商売@副業,1118575207034187776,2019-04-17 18:01:26,/i_c_h_i_k_o/status/1118575207034187776,1,0,0,誰にも言えず、深刻に悩んでいるあなたのお話聞きます ■絶望感、虚無感、脱力感…。心がマヒしているあなたのために。http://coconala.com/services/408308 　#悩み　#絶望　#脱力　#死にたい　#辛い　#苦しい　#ツラい　#悲しい　#疲れ　#人生,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">誰にも言えず、深刻に悩んでいるあなたのお話聞きます ■絶望感、虚無感、脱力感…。心がマヒしているあなたのために。<a class=""twitter-timeline-link"" data-expanded-url=""http://coconala.com/services/408308"" dir=""ltr"" href=""https://t.co/4feHGJZt1E"" rel=""nofollow noopener"" target=""_blank"" title=""http://coconala.com/services/408308""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">coconala.com/services/408308</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%A9%E3%81%BF?src=hash""><s>#</s><b>悩み</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%B5%B6%E6%9C%9B?src=hash""><s>#</s><b>絶望</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E8%84%B1%E5%8A%9B?src=hash""><s>#</s><b>脱力</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%AD%BB%E3%81%AB%E3%81%9F%E3%81%84?src=hash""><s>#</s><b>死にたい</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E8%BE%9B%E3%81%84?src=hash""><s>#</s><b>辛い</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E8%8B%A6%E3%81%97%E3%81%84?src=hash""><s>#</s><b>苦しい</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%84%E3%83%A9%E3%81%84?src=hash""><s>#</s><b>ツラい</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%96%B2%E3%82%8C?src=hash""><s>#</s><b>疲れ</b></a>　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E4%BA%BA%E7%94%9F?src=hash""><s>#</s><b>人生</b></a></p>"
mugen_suzaku,梦拳～SUZAKU～,1118535634396696577,2019-04-17 15:24:11,/mugen_suzaku/status/1118535634396696577,6,0,4,"本日も練習お疲れ様でした。

#YOSAKOI
#笑いすぎて涙でた
#笑いすぎて座りこむ人続出
#笑いすぎて笑えた
#エンヤーソイヤー
#例年通りハッばっかり
#新作できた
#バーン
#最後の最後に笑顔満開でバーン
#なおきくんに不評
#悲しい
#いつか好きになって
#待ってます
#突き進め無限の旅pic.twitter.com/Khh37YtpE8","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">本日も練習お疲れ様でした。

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/YOSAKOI?src=hash""><s>#</s><b>YOSAKOI</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%AC%91%E3%81%84%E3%81%99%E3%81%8E%E3%81%A6%E6%B6%99%E3%81%A7%E3%81%9F?src=hash""><s>#</s><b>笑いすぎて涙でた</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%AC%91%E3%81%84%E3%81%99%E3%81%8E%E3%81%A6%E5%BA%A7%E3%82%8A%E3%81%93%E3%82%80%E4%BA%BA%E7%B6%9A%E5%87%BA?src=hash""><s>#</s><b>笑いすぎて座りこむ人続出</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%AC%91%E3%81%84%E3%81%99%E3%81%8E%E3%81%A6%E7%AC%91%E3%81%88%E3%81%9F?src=hash""><s>#</s><b>笑いすぎて笑えた</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%82%A8%E3%83%B3%E3%83%A4%E3%83%BC%E3%82%BD%E3%82%A4%E3%83%A4%E3%83%BC?src=hash""><s>#</s><b>エンヤーソイヤー</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E4%BE%8B%E5%B9%B4%E9%80%9A%E3%82%8A%E3%83%8F%E3%83%83%E3%81%B0%E3%81%A3%E3%81%8B%E3%82%8A?src=hash""><s>#</s><b>例年通りハッばっかり</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%96%B0%E4%BD%9C%E3%81%A7%E3%81%8D%E3%81%9F?src=hash""><s>#</s><b>新作できた</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%90%E3%83%BC%E3%83%B3?src=hash""><s>#</s><b>バーン</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%9C%80%E5%BE%8C%E3%81%AE%E6%9C%80%E5%BE%8C%E3%81%AB%E7%AC%91%E9%A1%94%E6%BA%80%E9%96%8B%E3%81%A7%E3%83%90%E3%83%BC%E3%83%B3?src=hash""><s>#</s><b>最後の最後に笑顔満開でバーン</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%AA%E3%81%8A%E3%81%8D%E3%81%8F%E3%82%93%E3%81%AB%E4%B8%8D%E8%A9%95?src=hash""><s>#</s><b>なおきくんに不評</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%84%E3%81%A4%E3%81%8B%E5%A5%BD%E3%81%8D%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%A6?src=hash""><s>#</s><b>いつか好きになって</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%BE%85%E3%81%A3%E3%81%A6%E3%81%BE%E3%81%99?src=hash""><s>#</s><b>待ってます</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%AA%81%E3%81%8D%E9%80%B2%E3%82%81%E7%84%A1%E9%99%90%E3%81%AE%E6%97%85?src=hash""><s>#</s><b>突き進め無限の旅</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Khh37YtpE8"">pic.twitter.com/Khh37YtpE8</a></p>"
Shokichi_Butler,しょーきち(将喜知)@ 💋 🌻テイクアウト零/ゆんちゃん教,1118528778563514368,2019-04-17 14:56:56,/Shokichi_Butler/status/1118528778563514368,3,0,0,"#病み #悲しい #台本 #声劇 #声劇台本 #フォロー返します #フォロー返す #拍手返...

一人用声劇『大っ嫌いな自分』 / 書き手︰燈夜 零 読み手︰ BGM︰りりぞう
#nanamusichttps://nana-music.com/sounds/04c005bf/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%97%85%E3%81%BF?src=hash""><s>#</s><b>病み</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%8F%B0%E6%9C%AC?src=hash""><s>#</s><b>台本</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%A3%B0%E5%8A%87?src=hash""><s>#</s><b>声劇</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%A3%B0%E5%8A%87%E5%8F%B0%E6%9C%AC?src=hash""><s>#</s><b>声劇台本</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%95%E3%82%A9%E3%83%AD%E3%83%BC%E8%BF%94%E3%81%97%E3%81%BE%E3%81%99?src=hash""><s>#</s><b>フォロー返します</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%95%E3%82%A9%E3%83%AD%E3%83%BC%E8%BF%94%E3%81%99?src=hash""><s>#</s><b>フォロー返す</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%8B%8D%E6%89%8B%E8%BF%94?src=hash""><s>#</s><b>拍手返</b></a>...

一人用声劇『大っ嫌いな自分』 / 書き手︰燈夜 零 読み手︰ BGM︰りりぞう
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nanamusic?src=hash""><s>#</s><b>nanamusic</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://nana-music.com/sounds/04c005bf/"" dir=""ltr"" href=""https://t.co/y3eNynlafW"" rel=""nofollow noopener"" target=""_blank"" title=""https://nana-music.com/sounds/04c005bf/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">nana-music.com/sounds/04c005b</span><span class=""invisible"">f/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Sakura_4985,(✿˘艸˘✿),1118524226623819776,2019-04-17 14:38:51,/Sakura_4985/status/1118524226623819776,13,0,0,"失恋って辛いですね…。

#失恋
#悲しい
#春
#夜桜
#桜
#恋
#綺麗
#いいねした人全員フォローするpic.twitter.com/fyBZApU1TD","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">失恋って辛いですね…。

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%A4%B1%E6%81%8B?src=hash""><s>#</s><b>失恋</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5?src=hash""><s>#</s><b>春</b></a>
<span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%A4%9C%E6%A1%9C?src=hash""><s>#</s><b>夜桜</b></a><a dir=""ltr"" href=""/hashtag/%E5%A4%9C%E6%A1%9C?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/CherryBlossom_Sakura_2019/CherryBlossom_Sakura_2019.png""/></a></span>
<span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%A1%9C?src=hash""><s>#</s><b>桜</b></a><a dir=""ltr"" href=""/hashtag/%E6%A1%9C?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/CherryBlossom_Sakura_2019/CherryBlossom_Sakura_2019.png""/></a></span>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%81%8B?src=hash""><s>#</s><b>恋</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E7%B6%BA%E9%BA%97?src=hash""><s>#</s><b>綺麗</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%84%E3%81%84%E3%81%AD%E3%81%97%E3%81%9F%E4%BA%BA%E5%85%A8%E5%93%A1%E3%83%95%E3%82%A9%E3%83%AD%E3%83%BC%E3%81%99%E3%82%8B?src=hash""><s>#</s><b>いいねした人全員フォローする</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fyBZApU1TD"">pic.twitter.com/fyBZApU1TD</a></p>"
shigerumatsuge,しげるまつげ,1118519090283302913,2019-04-17 14:18:26,/shigerumatsuge/status/1118519090283302913,20,0,2,"春だから
#しげるまつげ #shigerumatsuge #女の子 #春 #イラスト #春なのに貧乏 #悲しい #前を向こう #春だから
#春なので #春ですし #おすしpic.twitter.com/IJpi4YY4m2","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">春だから
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%97%E3%81%92%E3%82%8B%E3%81%BE%E3%81%A4%E3%81%92?src=hash""><s>#</s><b>しげるまつげ</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/shigerumatsuge?src=hash""><s>#</s><b>shigerumatsuge</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%A5%B3%E3%81%AE%E5%AD%90?src=hash""><s>#</s><b>女の子</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5?src=hash""><s>#</s><b>春</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88?src=hash""><s>#</s><b>イラスト</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5%E3%81%AA%E3%81%AE%E3%81%AB%E8%B2%A7%E4%B9%8F?src=hash""><s>#</s><b>春なのに貧乏</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%89%8D%E3%82%92%E5%90%91%E3%81%93%E3%81%86?src=hash""><s>#</s><b>前を向こう</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5%E3%81%A0%E3%81%8B%E3%82%89?src=hash""><s>#</s><b>春だから</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5%E3%81%AA%E3%81%AE%E3%81%A7?src=hash""><s>#</s><b>春なので</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%98%A5%E3%81%A7%E3%81%99%E3%81%97?src=hash""><s>#</s><b>春ですし</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%8A%E3%81%99%E3%81%97?src=hash""><s>#</s><b>おすし</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/IJpi4YY4m2"">pic.twitter.com/IJpi4YY4m2</a></p>"
kana_tann117, 🍓華菜 🍓.+*:ﾟ+｡.,1118516448232476673,2019-04-17 14:07:56,/kana_tann117/status/1118516448232476673,4,2,0,"ねぇ...
WordとExcelの引き継ぎしくった...
出来なくなった……(o_ _)o パタッ
Amazonでポチッたよ...
諭吉が飛ぶの辛いよ（._.""Ⅱ）

#悲しい
#お金がない","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ねぇ...
WordとExcelの引き継ぎしくった...
出来なくなった……(o_ _)o パタッ
Amazonでポチッたよ...
諭吉が飛ぶの辛いよ（._.""Ⅱ）

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%8A%E9%87%91%E3%81%8C%E3%81%AA%E3%81%84?src=hash""><s>#</s><b>お金がない</b></a></p>"
4ZA2ZwJeNsmnux8,もも＠ 'ェ' ＠,1118509203809652736,2019-04-17 13:39:09,/4ZA2ZwJeNsmnux8/status/1118509203809652736,18,3,1,"私が見てない時に
推しの大コール…
あれかな…
もしかして
私が
観に行かない方が
いいの…か……な
#ツン
#悲しい
#でも嬉しい
#中嶋勝彦
#ありがとうございます
#強い相手ほど
#より輝くからpic.twitter.com/J9yjESbCuX","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">私が見てない時に
推しの大コール…
あれかな…
もしかして
私が
観に行かない方が
いいの…か……な
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%83%84%E3%83%B3?src=hash""><s>#</s><b>ツン</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E6%82%B2%E3%81%97%E3%81%84?src=hash""><s>#</s><b><strong>悲しい</strong></b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%A7%E3%82%82%E5%AC%89%E3%81%97%E3%81%84?src=hash""><s>#</s><b>でも嬉しい</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E4%B8%AD%E5%B6%8B%E5%8B%9D%E5%BD%A6?src=hash""><s>#</s><b>中嶋勝彦</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99?src=hash""><s>#</s><b>ありがとうございます</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E5%BC%B7%E3%81%84%E7%9B%B8%E6%89%8B%E3%81%BB%E3%81%A9?src=hash""><s>#</s><b>強い相手ほど</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%E3%82%88%E3%82%8A%E8%BC%9D%E3%81%8F%E3%81%8B%E3%82%89?src=hash""><s>#</s><b>より輝くから</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/J9yjESbCuX"">pic.twitter.com/J9yjESbCuX</a></p>"
